PVM: 16.08.2013   PÄÄTÖSKURSSI: 3,29

PVM: 19.08.2013   PÄÄTÖSKURSSI: 3,29

PVM: 20.08.2013   PÄÄTÖSKURSSI: 3,28

PVM: 21.08.2013   PÄÄTÖSKURSSI: 3,14

PVM: 22.08.2013   PÄÄTÖSKURSSI: 2,88

PVM: 23.08.2013   PÄÄTÖSKURSSI: 3,01

PVM: 26.08.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 27.08.2013   PÄÄTÖSKURSSI: 3,02

PVM: 28.08.2013   PÄÄTÖSKURSSI: 3,02

PVM: 29.08.2013   PÄÄTÖSKURSSI: 3,07

PVM: 30.08.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 02.09.2013   PÄÄTÖSKURSSI: 3,03

PVM: 03.09.2013   PÄÄTÖSKURSSI: 3,13

PVM: 04.09.2013   PÄÄTÖSKURSSI: 3,07

PVM: 05.09.2013   PÄÄTÖSKURSSI: 3,07

PVM: 06.09.2013   PÄÄTÖSKURSSI: 2,98

PVM: 09.09.2013   PÄÄTÖSKURSSI: 3,00

PVM: 10.09.2013   PÄÄTÖSKURSSI: 3,01

PVM: 11.09.2013   PÄÄTÖSKURSSI: 2,93

PVM: 12.09.2013   PÄÄTÖSKURSSI: 2,93

PVM: 13.09.2013   PÄÄTÖSKURSSI: 2,90

PVM: 16.09.2013   PÄÄTÖSKURSSI: 2,94

PVM: 17.09.2013   PÄÄTÖSKURSSI: 2,92

PVM: 18.09.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 19.09.2013   PÄÄTÖSKURSSI: 2,88

PVM: 20.09.2013   PÄÄTÖSKURSSI: 2,88

PVM: 23.09.2013   PÄÄTÖSKURSSI: 2,87

PVM: 24.09.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 25.09.2013   PÄÄTÖSKURSSI: 2,84

PVM: 26.09.2013   PÄÄTÖSKURSSI: 2,85

PVM: 27.09.2013   PÄÄTÖSKURSSI: 2,87

PVM: 30.09.2013   PÄÄTÖSKURSSI: 2,87

PVM: 01.10.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 02.10.2013   PÄÄTÖSKURSSI: 2,83

PVM: 03.10.2013   PÄÄTÖSKURSSI: 2,80

PVM: 04.10.2013   PÄÄTÖSKURSSI: 2,74

PVM: 07.10.2013   PÄÄTÖSKURSSI: 2,72

PVM: 08.10.2013   PÄÄTÖSKURSSI: 2,73

PVM: 09.10.2013   PÄÄTÖSKURSSI: 2,68

PVM: 10.10.2013   PÄÄTÖSKURSSI: 2,84

PVM: 11.10.2013   PÄÄTÖSKURSSI: 3,08

PVM: 14.10.2013   PÄÄTÖSKURSSI: 3,08

PVM: 15.10.2013   PÄÄTÖSKURSSI: 3,02

PVM: 16.10.2013   PÄÄTÖSKURSSI: 2,99

PVM: 17.10.2013   PÄÄTÖSKURSSI: 3,00

PVM: 18.10.2013   PÄÄTÖSKURSSI: 2,99

PVM: 21.10.2013   PÄÄTÖSKURSSI: 3,00

PVM: 22.10.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 23.10.2013   PÄÄTÖSKURSSI: 3,05

PVM: 24.10.2013   PÄÄTÖSKURSSI: 3,03

PVM: 25.10.2013   PÄÄTÖSKURSSI: 3,03

PVM: 28.10.2013   PÄÄTÖSKURSSI: 3,02

PVM: 29.10.2013   PÄÄTÖSKURSSI: 3,00

PVM: 30.10.2013   PÄÄTÖSKURSSI: 3,00

PVM: 31.10.2013   PÄÄTÖSKURSSI: 3,05

PVM: 01.11.2013   PÄÄTÖSKURSSI: 3,04

PVM: 04.11.2013   PÄÄTÖSKURSSI: 3,12

PVM: 05.11.2013   PÄÄTÖSKURSSI: 3,27

PVM: 06.11.2013   PÄÄTÖSKURSSI: 3,27

PVM: 07.11.2013   PÄÄTÖSKURSSI: 3,33

PVM: 08.11.2013   PÄÄTÖSKURSSI: 3,50

PVM: 11.11.2013   PÄÄTÖSKURSSI: 4,05

PVM: 12.11.2013   PÄÄTÖSKURSSI: 3,90

PVM: 13.11.2013   PÄÄTÖSKURSSI: 4,30

PVM: 14.11.2013   PÄÄTÖSKURSSI: 4,25

PVM: 15.11.2013   PÄÄTÖSKURSSI: 4,10

PVM: 18.11.2013   PÄÄTÖSKURSSI: 3,98

PVM: 19.11.2013   PÄÄTÖSKURSSI: 4,06

PVM: 20.11.2013   PÄÄTÖSKURSSI: 4,06

PVM: 21.11.2013   PÄÄTÖSKURSSI: 4,08

PVM: 22.11.2013   PÄÄTÖSKURSSI: 4,10

PVM: 25.11.2013   PÄÄTÖSKURSSI: 4,10

PVM: 26.11.2013   PÄÄTÖSKURSSI: 4,18

PVM: 27.11.2013   PÄÄTÖSKURSSI: 4,15

PVM: 28.11.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 29.11.2013   PÄÄTÖSKURSSI: 4,30

PVM: 02.12.2013   PÄÄTÖSKURSSI: 4,25

PVM: 03.12.2013   PÄÄTÖSKURSSI: 4,27

PVM: 04.12.2013   PÄÄTÖSKURSSI: 4,13

PVM: 05.12.2013   PÄÄTÖSKURSSI: 4,29

PVM: 09.12.2013   PÄÄTÖSKURSSI: 4,22

PVM: 10.12.2013   PÄÄTÖSKURSSI: 4,13

PVM: 11.12.2013   PÄÄTÖSKURSSI: 4,02

PVM: 12.12.2013   PÄÄTÖSKURSSI: 4,00

PVM: 13.12.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 16.12.2013   PÄÄTÖSKURSSI: 4,00

PVM: 17.12.2013   PÄÄTÖSKURSSI: 4,00

PVM: 18.12.2013   PÄÄTÖSKURSSI: 4,00

PVM: 19.12.2013   PÄÄTÖSKURSSI: 4,17

PVM: 20.12.2013   PÄÄTÖSKURSSI: 4,23

PVM: 23.12.2013   PÄÄTÖSKURSSI: 4,23

PVM: 27.12.2013   PÄÄTÖSKURSSI: 4,17

PVM: 30.12.2013   PÄÄTÖSKURSSI: 4,27

PVM: 02.01.2014   PÄÄTÖSKURSSI: 4,03

PVM: 03.01.2014   PÄÄTÖSKURSSI: 4,32

PVM: 07.01.2014   PÄÄTÖSKURSSI: 4,10

PVM: 08.01.2014   PÄÄTÖSKURSSI: 4,19

PVM: 09.01.2014   PÄÄTÖSKURSSI: 4,23

PVM: 10.01.2014   PÄÄTÖSKURSSI: 4,08

PVM: 13.01.2014   PÄÄTÖSKURSSI: 4,23

PVM: 14.01.2014   PÄÄTÖSKURSSI: 4,17

PVM: 15.01.2014   PÄÄTÖSKURSSI: 4,17

PVM: 16.01.2014   PÄÄTÖSKURSSI: 4,20

PVM: 17.01.2014   PÄÄTÖSKURSSI: 4,07

PVM: 20.01.2014   PÄÄTÖSKURSSI: 4,06

PVM: 21.01.2014   PÄÄTÖSKURSSI: 4,10

PVM: 22.01.2014   PÄÄTÖSKURSSI: No data avialable

PVM: 23.01.2014   PÄÄTÖSKURSSI: 4,07

PVM: 24.01.2014   PÄÄTÖSKURSSI: 4,07

PVM: 27.01.2014   PÄÄTÖSKURSSI: 4,16

PVM: 28.01.2014   PÄÄTÖSKURSSI: No data avialable

PVM: 29.01.2014   PÄÄTÖSKURSSI: 4,17

PVM: 30.01.2014   PÄÄTÖSKURSSI: 4,03

