PVM: 05.01.2012   PÄÄTÖSKURSSI: 16,48

PVM: 09.01.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 10.01.2012   PÄÄTÖSKURSSI: 16,00

PVM: 11.01.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 12.01.2012   PÄÄTÖSKURSSI: 16,47

PVM: 13.01.2012   PÄÄTÖSKURSSI: 17,50

PVM: 16.01.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 17.01.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 18.01.2012   PÄÄTÖSKURSSI: 16,36

PVM: 19.01.2012   PÄÄTÖSKURSSI: 16,81

PVM: 20.01.2012   PÄÄTÖSKURSSI: 17,00

PVM: 23.01.2012   PÄÄTÖSKURSSI: 17,00

PVM: 24.01.2012   PÄÄTÖSKURSSI: 17,00

PVM: 25.01.2012   PÄÄTÖSKURSSI: 16,90

PVM: 26.01.2012   PÄÄTÖSKURSSI: 16,32

PVM: 27.01.2012   PÄÄTÖSKURSSI: 16,49

PVM: 30.01.2012   PÄÄTÖSKURSSI: 16,45

PVM: 31.01.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 01.02.2012   PÄÄTÖSKURSSI: 16,50

PVM: 02.02.2012   PÄÄTÖSKURSSI: 16,90

PVM: 03.02.2012   PÄÄTÖSKURSSI: 16,90

PVM: 06.02.2012   PÄÄTÖSKURSSI: 16,95

PVM: 07.02.2012   PÄÄTÖSKURSSI: 17,90

PVM: 08.02.2012   PÄÄTÖSKURSSI: 17,00

PVM: 09.02.2012   PÄÄTÖSKURSSI: 16,90

PVM: 10.02.2012   PÄÄTÖSKURSSI: 16,85

PVM: 13.02.2012   PÄÄTÖSKURSSI: 16,90

PVM: 14.02.2012   PÄÄTÖSKURSSI: 17,80

PVM: 15.02.2012   PÄÄTÖSKURSSI: 17,20

PVM: 16.02.2012   PÄÄTÖSKURSSI: 16,56

PVM: 17.02.2012   PÄÄTÖSKURSSI: 16,80

