PVM: 26.09.2016   PÄÄTÖSKURSSI: 3,84

PVM: 27.09.2016   PÄÄTÖSKURSSI: 3,82

PVM: 28.09.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 29.09.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 30.09.2016   PÄÄTÖSKURSSI: 3,81

PVM: 03.10.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 04.10.2016   PÄÄTÖSKURSSI: 3,77

PVM: 05.10.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 06.10.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 07.10.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 10.10.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 11.10.2016   PÄÄTÖSKURSSI: 3,75

PVM: 12.10.2016   PÄÄTÖSKURSSI: 3,81

PVM: 13.10.2016   PÄÄTÖSKURSSI: 3,81

PVM: 14.10.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 17.10.2016   PÄÄTÖSKURSSI: 3,99

PVM: 18.10.2016   PÄÄTÖSKURSSI: 3,95

PVM: 19.10.2016   PÄÄTÖSKURSSI: 4,05

PVM: 20.10.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 21.10.2016   PÄÄTÖSKURSSI: 4,09

PVM: 24.10.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 25.10.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 26.10.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 27.10.2016   PÄÄTÖSKURSSI: 4,00

PVM: 28.10.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 31.10.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 01.11.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 02.11.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 03.11.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 04.11.2016   PÄÄTÖSKURSSI: 3,99

PVM: 07.11.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 08.11.2016   PÄÄTÖSKURSSI: 3,99

PVM: 09.11.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 10.11.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 11.11.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 14.11.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 15.11.2016   PÄÄTÖSKURSSI: 3,87

PVM: 16.11.2016   PÄÄTÖSKURSSI: 3,92

PVM: 17.11.2016   PÄÄTÖSKURSSI: 3,95

PVM: 18.11.2016   PÄÄTÖSKURSSI: 4,00

PVM: 21.11.2016   PÄÄTÖSKURSSI: 3,88

PVM: 22.11.2016   PÄÄTÖSKURSSI: 3,95

PVM: 23.11.2016   PÄÄTÖSKURSSI: 4,05

PVM: 24.11.2016   PÄÄTÖSKURSSI: 3,89

PVM: 25.11.2016   PÄÄTÖSKURSSI: 3,85

PVM: 28.11.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 29.11.2016   PÄÄTÖSKURSSI: 3,75

PVM: 30.11.2016   PÄÄTÖSKURSSI: 3,75

PVM: 01.12.2016   PÄÄTÖSKURSSI: 3,62

PVM: 02.12.2016   PÄÄTÖSKURSSI: 3,61

PVM: 05.12.2016   PÄÄTÖSKURSSI: 3,41

PVM: 07.12.2016   PÄÄTÖSKURSSI: 3,37

PVM: 08.12.2016   PÄÄTÖSKURSSI: 3,43

PVM: 09.12.2016   PÄÄTÖSKURSSI: 3,37

PVM: 12.12.2016   PÄÄTÖSKURSSI: 3,37

